Structure;Conformer;Relative Energy (kcal/mol);Boltzmann Distribution;Buried Volume
dcype;50;5.203254876274745;5.5379691557795566e-05;54.6
dcype;31;5.227099989786509;5.319358649125019e-05;Error
dcype;44;5.300517841100518;4.698990896571059e-05;53.4
dcype;38;5.472453663094456;3.514660762444493e-05;54.1
dcype;45;5.554029053031175;3.062279957166394e-05;54.7
dcype;37;6.22984978425104;9.77925473379498e-06;54.7
dcype;39;6.446965822130908;6.77708969463801e-06;53.6
dcype;40;6.723067142004529;4.251212895353734e-06;53.9
dcype;43;6.829115148950801;3.5540438102466218e-06;53.8
dcype;30;6.8385276937130195;3.497988138087926e-06;54.2
dcype;32;6.964028293966872;2.8298216764130174e-06;54.0
dcype;36;7.445950598176911;1.2538670729959072e-06;54.2
dcype;47;7.839394979110965;6.451277263818036e-07;54.6
dcype;46;8.390970115931133;2.54123744178383e-07;55.4
dppe;1;0.0;0.5581485947494514;50.8
dppe;9;0.3106139848578246;0.3302958820197523;50.9
dppe;3;1.6710404888473418;0.03318797430442476;51.0
dppe;18;1.7287707649869422;0.030104643174966916;49.4
dppe;17;1.736928304180363;0.029692695985845393;49.4
dppe;5;2.2389307040543502;0.012717817209438998;51.0
dppe;4;3.340198468913453;0.001979668822381915;Error
dppe;10;3.5002117341515078;0.0015108348103231642;51.7
dppe;12;3.545391950037439;0.0013998311319924884;49.9
dppe;7;4.155324865924283;0.0004996519980568059;50.0
dppe;13;4.299023053060852;0.00039197626638369867;51.8
dppe;6;5.350718080973775;6.634422811773674e-05;50.5
dppe;16;7.001050971230093;4.085298864417965e-06;49.0
neopentyl;5;0.0;0.405385652629671;46.4
neopentyl;1;0.1788383550478484;0.29969805463169236;46.8
neopentyl;3;0.36897176392450187;0.2173772749535764;46.9
neopentyl;4;1.0353799498114373;0.07053090431137637;46.5
neopentyl;2;2.546407173991435;0.005495230605175009;19.0
neopentyl;6;3.310078324989499;0.0015128828685088962;46.4
pmes3;6;0.0;0.6327711892547297;46.6
pmes3;10;0.9117618589095264;0.1356551073464423;46.7
pmes3;7;0.915526876757343;0.1347951826669752;46.7
pmes3;3;1.9383567668858215;0.023954735271443078;49.2
pmes3;8;1.9396117727399753;0.023904011177981476;49.1
pmes3;11;2.1630028407466777;0.016390994122990547;49.2
pmes3;1;2.1655128527403407;0.016321651828909316;49.2
pmes3;2;2.169905373800589;0.016201007947160388;49.2
pmes3;5;6.8360176817193565;6.1203833679890814e-06;44.7
ptbu3;3;0.0;0.1291670240349262;41.9
ptbu3;1;0.002510011708307502;0.12862058147732938;41.9
ptbu3;8;0.002510011708307502;0.12862058147732938;41.9
ptbu3;9;0.03639517405078869;0.12146592653870618;42.6
ptbu3;6;0.042670203892268097;0.12018534217213166;42.6
ptbu3;2;0.04518021617128625;0.11967689660598294;42.6
ptbu3;5;0.5164349689088872;0.05399179738444258;42.6
ptbu3;7;0.51894498090255;0.05376338444840503;42.6
ptbu3;11;0.5810677781023992;0.04840801389935822;42.0
ptbu3;10;0.5848327959502158;0.04810115301774221;42.0
ptbu3;4;0.5860878018043696;0.0479992989436464;42.0
ptol3;24;0.0;0.2950902688834547;43.5
ptol3;7;0.058357778781321944;0.26739133580610464;43.6
ptol3;12;0.12236308476240175;0.23999218877146428;46.6
ptol3;5;0.6180904550802648;0.10388743327898343;46.5
ptol3;8;0.6889982938299009;0.09216149961981904;43.3
ptol3;20;3.21595287479911;0.001291029799253932;42.0
ptol3;1;5.1241894980463325;5.142510277080152e-05;39.5
ptol3;6;5.22082495994503;4.368069458333561e-05;39.4
ptol3;39;5.222079965799184;4.358820081918393e-05;39.4
ptol3;41;5.2258449839323555;4.3311892958882875e-05;39.5
ptol3;11;7.489875807923333;9.459279444482546e-07;40.6
ptol3;18;7.616631413745984;7.636215916768675e-07;37.7
ptol3;19;7.620396431879156;7.587809548964863e-07;37.7
ptol3;22;7.904027788019121;4.699617221831284e-07;37.7
ptol3;13;8.005055770978068;3.9623677451371384e-07;38.4
ptol3;36;8.217151784870609;2.7693294543737697e-07;38.4
ptol3;17;8.220916803003782;2.751774531673901e-07;38.4
ptol3;46;8.566670955772885;1.534580151490796e-07;35.7
ptol3;44;9.402504951945449;3.7400282539693105e-08;Error
ptol3;35;9.437017616929653;3.5282437890189516e-08;36.4
ptol3;9;9.472157784840933;3.324926061299888e-08;Error
ptol3;53;9.5581256958379;2.8755531330804236e-08;Error
ptol3;15;9.834854518923954;1.8019001485771547e-08;40.4
ptol3;23;9.978552705775169;1.4135880487275194e-08;37.9
ptol3;10;10.425334842073928;6.646482831133263e-09;40.5
ptol3;14;10.478045093940848;6.080327847040439e-09;40.6
