Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
0.973358154,4.38799E-06,3.6656E-06
0.978393555,4.40579E-06,3.18393E-06
0.983428955,4.42353E-06,2.75726E-06
0.988464355,4.44127E-06,2.3611E-06
0.993499756,4.45894E-06,2.00469E-06
0.998535156,4.47661E-06,1.68184E-06
1.003570557,4.49422E-06,1.42008E-06
1.008605957,4.51184E-06,1.17664E-06
1.013641357,4.5294E-06,9.72915E-07
1.018676758,4.54697E-06,8.02762E-07
1.023712158,4.56449E-06,6.54015E-07
1.028747559,4.58201E-06,5.23579E-07
1.033782959,4.5995E-06,4.14541E-07
1.038818359,4.61698E-06,3.17709E-07
1.04385376,4.63444E-06,2.51425E-07
1.04888916,4.6519E-06,1.82088E-07
1.053924561,4.66933E-06,1.37187E-07
1.058959961,4.68677E-06,8.92349E-08
1.063995361,4.70419E-06,6.26592E-08
1.069030762,4.72161E-06,3.91352E-08
1.074066162,4.73902E-06,2.1722E-08
1.079101563,4.75643E-06,-1.7947E-09
1.084136963,4.77385E-06,-1.31044E-08
1.089172363,4.79126E-06,-9.15527E-09
1.094207764,4.8111E-06,-1.06812E-08
1.099243164,4.83093E-06,-3.05176E-09
1.104278564,4.85077E-06,-1.37329E-08
1.109313965,4.87061E-06,-1.2207E-08
1.114349365,4.89662E-06,-1.3807E-08
1.119384766,4.92263E-06,-6.25177E-09
1.124420166,4.94865E-06,-1.74826E-09
1.129455566,4.97466E-06,1.19105E-08
1.134490967,5.00068E-06,4.20703E-09
1.139526367,5.02669E-06,1.78658E-08
1.144561768,5.0527E-06,2.84729E-08
1.149597168,5.07872E-06,3.60282E-08
1.154632568,5.10473E-06,4.05317E-08
1.159667969,5.13075E-06,4.8087E-08
1.164703369,5.15676E-06,5.56424E-08
1.16973877,5.18277E-06,6.31977E-08
1.17477417,5.20879E-06,7.38048E-08
1.17980957,5.2348E-06,7.83084E-08
1.184844971,5.26082E-06,1.01123E-07
1.189880371,5.28683E-06,9.95226E-08
1.194915771,5.31284E-06,1.1013E-07
1.199951172,5.33886E-06,1.23789E-07
1.204986572,5.36487E-06,1.22189E-07
1.210021973,5.39089E-06,1.32796E-07
1.215057373,5.4169E-06,1.40351E-07
1.220092773,5.44291E-06,1.50959E-07
1.225128174,5.46893E-06,1.49359E-07
1.230163574,5.49494E-06,1.56914E-07
1.235198975,5.52096E-06,1.61418E-07
1.240234375,5.54697E-06,1.56766E-07
1.245269775,5.57298E-06,1.70425E-07
1.250305176,5.599E-06,1.74929E-07
1.255340576,5.62501E-06,1.76381E-07
1.260375977,5.65102E-06,1.68678E-07
1.265411377,5.67704E-06,1.7013E-07
1.270446777,5.70305E-06,1.80737E-07
1.275482178,5.72907E-06,1.69982E-07
1.280517578,5.75508E-06,1.71435E-07
1.285552979,5.78109E-06,1.69835E-07
1.290588379,5.80711E-06,1.71287E-07
1.295623779,5.83312E-06,1.60532E-07
1.30065918,5.85913E-06,1.61984E-07
1.30569458,5.88515E-06,1.54281E-07
1.31072998,5.91116E-06,1.4963E-07
1.315765381,5.93717E-06,1.41927E-07
1.320800781,5.96319E-06,1.22017E-07
1.325836182,5.9892E-06,1.23469E-07
1.330871582,6.01522E-06,1.18818E-07
1.335906982,6.04123E-06,1.05011E-07
1.340942383,6.06724E-06,1.0036E-07
1.345977783,6.09326E-06,9.26567E-08
1.351013184,6.11927E-06,8.49536E-08
1.356048584,6.14528E-06,8.64059E-08
1.361083984,6.1713E-06,7.87029E-08
1.366119385,6.19731E-06,6.48964E-08
1.371154785,6.22332E-06,5.71934E-08
1.376190186,6.24934E-06,4.94904E-08
1.381225586,6.27535E-06,4.17874E-08
1.386260986,6.30136E-06,2.18774E-08
1.391296387,6.32738E-06,2.63814E-08
1.396331787,6.35339E-06,6.47141E-09
1.401367188,6.37941E-06,7.92371E-09
1.406402588,6.40542E-06,-2.83102E-09
1.411437988,6.43143E-06,-4.43048E-09
1.416473389,6.45745E-06,-1.51852E-08
1.421508789,6.48346E-06,-1.37329E-08
1.426544189,6.51016E-06,-1.297E-08
1.43157959,6.53687E-06,-9.15527E-09
1.43661499,6.56586E-06,-1.98364E-08
1.441650391,6.59485E-06,-1.2207E-08
1.446685791,6.62918E-06,-2.21252E-08
1.451721191,6.66351E-06,-1.67847E-08
1.456756592,6.70084E-06,-2.05468E-08
1.461791992,6.73818E-06,-2.4309E-08
1.466827393,6.77551E-06,-3.65686E-09
1.471862793,6.81284E-06,1.73649E-09
1.476898193,6.85017E-06,1.93373E-08
1.481933594,6.8875E-06,3.99898E-08
1.486968994,6.92483E-06,6.06428E-08
1.492004395,6.96216E-06,9.96063E-08
1.497039795,6.99949E-06,1.32467E-07
1.502075195,7.03682E-06,1.77535E-07
