"Potential applied (V)","Fitted WE(1).d.Current","Corrected WE(1).d.Current (A)"
0.53375244140625,4.59733230335384e-06,6.39225794586626e-08
0.538787841796875,4.62502997902109e-06,6.18596694164136e-08
0.5438232421875,4.65272765468834e-06,6.59002749991647e-08
0.548858642578125,4.6804144373057e-06,6.84258947255483e-08
0.55389404296875,4.70810121992307e-06,6.14910652331834e-08
0.558929443359375,4.73577744401699e-06,6.15858372330117e-08
0.56396484375,4.76345366811091e-06,6.07650818890892e-08
0.569000244140625,4.79111969000143e-06,6.17855834360745e-08
0.57403564453125,4.81878571189194e-06,6.18905576393097e-08
0.579071044921875,4.84644190888596e-06,5.98691262702917e-08
0.5841064453125,4.87409810587998e-06,6.08994527137733e-08
0.589141845703125,4.90174487542164e-06,5.98029761408595e-08
0.59417724609375,4.9293916449633e-06,5.44340386304456e-08
0.599212646484375,4.95702940374332e-06,5.54828032879261e-08
0.604248046875,4.98466716252334e-06,5.10384038829062e-08
0.609283447265625,5.01229634554929e-06,4.99595138257067e-08
0.61431884765625,5.03992552857524e-06,5.19323815810069e-08
0.619354248046875,5.06754658820489e-06,5.4218548513857e-08
0.6243896484375,5.09516764783454e-06,4.7349442009208e-08
0.629425048828125,5.12278105277435e-06,4.96432636319021e-08
0.63446044921875,5.15039445771415e-06,3.75938235358453e-08
0.639495849609375,5.17800069198514e-06,4.63035072336151e-08
0.64453125,5.20560692625612e-06,3.60922924938828e-08
0.649566650390625,5.23320648812936e-06,4.32827696831411e-08
0.65460205078125,5.2608060500026e-06,3.49092820286482e-08
0.659637451171875,5.28839945090675e-06,4.24110959682501e-08
0.6646728515625,5.3159928518109e-06,4.10628122516015e-08
0.669708251953125,5.343580615214e-06,3.54477050985026e-08
0.67474365234375,5.37116837861709e-06,2.67808401329048e-08
0.679779052734375,5.39875103888522e-06,3.00209337710314e-08
0.684814453125,5.42633369915334e-06,2.77678633466575e-08
0.689849853515625,5.4539118003885e-06,1.91106605489998e-08
0.69488525390625,5.48148990162366e-06,2.14397858763413e-08
0.699920654296875,5.50906399648347e-06,2.34677417977801e-08
0.7049560546875,5.53663809134328e-06,1.23731391254695e-08
0.709991455078125,5.56420873984498e-06,4.63891640501564e-09
0.71502685546875,5.59177938834669e-06,1.09427796220632e-08
0.720062255859375,5.61934715665805e-06,1.57236441231987e-08
0.72509765625,5.64691492496941e-06,1.65372234680854e-08
0.730133056640625,5.67448038418915e-06,5.14608065460107e-09
0.73516845703125,5.70204584340888e-06,1.57275940911158e-08
0.740203857421875,5.72960956833916e-06,8.30547072333578e-09
0.7452392578125,5.75717329326944e-06,5.76615985555724e-09
0.750274658203125,5.78473586118318e-06,3.53318178557311e-09
0.75531005859375,5.81229842909691e-06,1.60537949684098e-09
0.760345458984375,5.83986041850237e-06,-1.6668502370059e-11
0.765380859375,5.86742240790783e-06,-4.99565009532938e-09
0.770416259765625,5.89498439731329e-06,-6.92287387578988e-09
0.77545166015625,5.92254638671875e-06,-1.6784667968749e-08
0.780487060546875,5.95011393229166e-06,-1.07828776041653e-08
0.7855224609375,5.97768147786458e-06,-1.05794270833315e-08
0.790557861328125,6.0052490234375e-06,-1.49536132812489e-08
0.79559326171875,6.03281656901041e-06,-7.7311197916648e-09
0.800628662109375,6.06038411458333e-06,-1.21053059895813e-08
0.8056640625,6.08795166015625e-06,-1.19018554687484e-08
0.810699462890625,6.11797332763672e-06,-1.81198120117172e-08
0.81573486328125,6.14799499511719e-06,-1.12152099609364e-08
0.820770263671875,6.17801666259766e-06,-1.19400024414057e-08
0.8258056640625,6.20803833007812e-06,-1.17492675781249e-08
0.830841064453125,6.23870849609375e-06,-1.89208984374994e-08
0.83587646484375,6.26937866210937e-06,-1.32751464843747e-08
0.840911865234375,6.30142211914062e-06,-1.87683105468743e-08
0.845947265625,6.33346557617187e-06,-1.72424316406245e-08
0.850982666015625,6.36550903320312e-06,-1.08337402343748e-08
0.85601806640625,6.39755249023437e-06,-1.44958496093743e-08
0.861053466796875,6.43524169921875e-06,-2.31933593749986e-08
0.8660888671875,6.47293090820312e-06,-1.66320800781238e-08
0.871124267578125,6.51069641113281e-06,-2.11334228515603e-08
0.87615966796875,6.5484619140625e-06,-1.77001953124982e-08
0.881195068359375,6.58663007155129e-06,-2.04679621762952e-08
0.88623046875,6.62479822904009e-06,-1.46908071650921e-08
0.891265869140625,6.66295393207193e-06,-5.84943988442722e-09
0.89630126953125,6.70110963510376e-06,-2.50123666626279e-09
0.901336669921875,6.73924669782406e-06,5.44324358218717e-09
0.9063720703125,6.77738376054436e-06,1.39980753931377e-08
0.911407470703125,6.81549603821411e-06,2.80708563171367e-08
0.91644287109375,6.85360831588387e-06,4.67212739598843e-08
0.921478271484375,6.8916897148387e-06,7.02853828175491e-08
0.926513671875,6.92977111379354e-06,9.41546674564625e-08
0.931549072265625,6.96781560121526e-06,1.18060863628486e-07
0.93658447265625,7.00586008863699e-06,1.58751727769258e-07
0.941619873046875,7.04386170210983e-06,1.95213004921418e-07
0.9466552734375,7.08186331558267e-06,2.38693325042329e-07
0.951690673828125,7.11981617240792e-06,2.7917064399833e-07
0.95672607421875,7.15776902923317e-06,3.11103041079332e-07
0.961761474609375,7.19566733547757e-06,3.63536766084935e-07
0.966796875,7.23356564172196e-06,4.15970491090538e-07
0.971832275390625,7.27140370097675e-06,4.86469834179502e-07
