Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
0.988922119,-9.52771E-07,1.22168E-05
0.99395752,-9.38112E-07,1.22021E-05
0.99899292,-9.23513E-07,1.21448E-05
1.00402832,-9.08915E-07,1.20326E-05
1.009063721,-8.94376E-07,1.18563E-05
1.014099121,-8.79837E-07,1.16068E-05
1.019134521,-8.65356E-07,1.1278E-05
1.024169922,-8.50875E-07,1.08698E-05
1.029205322,-8.3645E-07,1.03885E-05
1.034240723,-8.22024E-07,9.82776E-06
1.039276123,-8.07652E-07,9.21219E-06
1.044311523,-7.93279E-07,8.55695E-06
1.049346924,-7.78957E-07,7.85293E-06
1.054382324,-7.64635E-07,7.17333E-06
1.059417725,-7.50361E-07,6.46325E-06
1.064453125,-7.36086E-07,5.802E-06
1.069488525,-7.21856E-07,5.15301E-06
1.074523926,-7.07626E-07,4.54063E-06
1.079559326,-6.93436E-07,4.00154E-06
1.084594727,-6.79247E-07,3.48686E-06
1.089630127,-6.65095E-07,3.04241E-06
1.094665527,-6.50943E-07,2.64374E-06
1.099700928,-6.36825E-07,2.27257E-06
1.104736328,-6.22706E-07,1.95632E-06
1.109771729,-6.08618E-07,1.65842E-06
1.114807129,-5.94529E-07,1.38493E-06
1.119842529,-5.80466E-07,1.1664E-06
1.12487793,-5.66403E-07,9.69235E-07
1.12991333,-5.52362E-07,7.93451E-07
1.13494873,-5.3832E-07,6.63443E-07
1.139984131,-5.24296E-07,5.24296E-07
1.145019531,-5.10272E-07,4.15668E-07
1.150054932,-4.96261E-07,3.28415E-07
1.155090332,-4.8225E-07,2.25903E-07
1.160125732,-4.68248E-07,1.4171E-07
1.165161133,-4.54246E-07,1.00242E-07
1.170196533,-4.40248E-07,6.18301E-08
1.175231934,-4.2625E-07,1.42629E-08
1.180267334,-4.12252E-07,-2.78677E-09
1.185302734,-3.98254E-07,-7.62939E-09
1.190338135,-3.69263E-07,-2.13623E-08
1.195373535,-3.40271E-07,-2.89917E-08
1.200408936,-2.9037E-07,-2.09097E-08
1.205444336,-2.40468E-07,-3.11383E-08
1.210479736,-1.90604E-07,-4.70841E-09
1.215515137,-1.4074E-07,4.61355E-08
1.220550537,-9.09317E-08,1.09242E-07
1.225585938,-4.11233E-08,2.21177E-07
1.230621338,8.61114E-09,3.17927E-07
1.235656738,5.83456E-08,4.90971E-07
1.240692139,1.07988E-07,6.97676E-07
1.245727539,1.57631E-07,9.1964E-07
1.250762939,2.07164E-07,1.20275E-06
1.25579834,2.56698E-07,1.58046E-06
1.26083374,3.06105E-07,2.00408E-06
1.265869141,3.55512E-07,2.47347E-06
1.270904541,4.04775E-07,3.03456E-06
