Potential applied (V),Fitted Corrected WE(1).δ.Current,Corrected Corrected WE(1).δ.Current (A)
1.36962890625,3.52327122522055E-07,7.05461448339683E-06
1.37466430664063,3.49335585970555E-07,7.11227338487184E-06
1.37969970703125,3.46344049419055E-07,7.15162173947186E-06
1.38473510742188,3.43136355910509E-07,7.12140755653045E-06
1.3897705078125,3.39928662401962E-07,7.04846876421405E-06
1.39480590820313,3.36506651804134E-07,6.94868311592627E-06
1.39984130859375,3.33084641206306E-07,6.82143164732601E-06
1.40487670898438,3.29450577168238E-07,6.64596108271337E-06
1.409912109375,3.25816513130171E-07,6.43386942435074E-06
1.41494750976563,3.21973088573279E-07,6.18270299910596E-06
1.41998291015625,3.18129664016387E-07,5.90101899573619E-06
1.42501831054688,3.14080005016989E-07,5.59855882077395E-06
1.4300537109375,3.10030346017591E-07,5.27473634112421E-06
1.43508911132813,3.05778014026771E-07,4.92707297802804E-06
1.44012451171875,3.01525682035951E-07,4.60992719305687E-06
1.44515991210938,2.97074674392455E-07,4.29944415428384E-06
1.4501953125,2.92623666748959E-07,4.0194786936358E-06
1.45523071289063,2.87978415451013E-07,3.76447159438665E-06
1.46026611328125,2.83333164153066E-07,3.58881019826251E-06
1.46530151367188,2.78498532865464E-07,3.42893598972076E-06
1.4703369140625,2.73663901577862E-07,3.34535572649151E-06
1.47537231445313,2.68645180861381E-07,3.30195986199263E-06
1.48040771484375,2.63626460144901E-07,3.31959915374376E-06
1.48544311523438,2.58429360905865E-07,3.3682497894187E-06
1.490478515625,2.5323226166683E-07,3.44741800321863E-06
1.49551391601563,2.47862906835551E-07,3.56063063151352E-06
1.50054931640625,2.42493552004271E-07,3.7196196269959E-06
1.50558471679688,2.36958466461884E-07,3.89432292426525E-06
1.5106201171875,2.31423380919498E-07,4.0781814949721E-06
1.51565551757813,2.25729479703467E-07,4.26552692213845E-06
1.52069091796875,2.20035578487435E-07,4.43761356024231E-06
1.52572631835938,2.1419015331649E-07,4.61316582581118E-06
1.53076171875,2.08344728145545E-07,4.76125227106756E-06
1.53579711914063,2.02355432315119E-07,4.90057530483301E-06
1.54083251953125,1.96366136484694E-07,4.98496669797347E-06
1.54586791992188,1.90240968193842E-07,5.06362368998406E-06
1.5509033203125,1.8411579990299E-07,5.09040079918215E-06
1.55593872070313,1.77863084083281E-07,5.0778507257097E-06
1.56097412109375,1.71610368263571E-07,5.01647252723725E-06
1.56600952148438,1.65238736989527E-07,4.9187948042267E-06
1.571044921875,1.58867105715484E-07,4.79059950309114E-06
1.57608032226563,1.52385477284637E-07,4.62913172786899E-06
1.58111572265625,1.4590384885379E-07,4.43409461670933E-06
1.58615112304688,1.3932140563234E-07,4.17219042902848E-06
1.5911865234375,1.3273896241089E-07,3.92554503041011E-06
1.59622192382813,1.2606512754825E-07,3.66693842077235E-06
1.60125732421875,1.1939129268561E-07,3.39307302207209E-06
1.60629272460938,1.12635705807689E-07,3.11637545432211E-06
1.611328125,1.05880118929768E-07,2.81831558188464E-06
1.61636352539063,9.9052610926694E-08,2.55706975799748E-06
1.62139892578125,9.22251029236201E-08,2.27446162942283E-06
1.62643432617188,8.53356699526795E-08,2.03474408377413E-06
1.6314697265625,7.84462369817389E-08,1.78587126468793E-06
1.63650512695313,7.15050138105784E-08,1.55544769383953E-06
1.64154052734375,6.45637906394178E-08,1.33417939642864E-06
1.64657592773438,5.75810234579961E-08,1.1313328413944E-06
1.651611328125,5.05982562765744E-08,9.43745075422669E-07
1.65664672851563,4.35842751089425E-08,7.80654885875193E-07
1.66168212890625,3.65702939413106E-08,6.2366821195272E-07
1.66671752929688,2.95354847900338E-08,4.85047799954095E-07
1.6717529296875,2.2500675638757E-08,3.64737934830471E-07
1.67678833007813,1.54554524956578E-08,2.65818231918761E-07
1.68182373046875,8.41022935255854E-09,1.66898529007061E-07
1.68685913085938,1.36500620945931E-09,8.93411307828585E-08
1.69189453125,-5.68021693363993E-09,3.31460372461505E-08
1.69692993164063,-1.27254400767392E-08,-2.61008141030505E-08
