"Potential applied (V)","Fitted WE(1).d.Current","Corrected WE(1).d.Current (A)"
0.55389404296875,4.73450794649847e-06,4.66908069126527e-07
0.558929443359375,4.76340704098638e-06,4.72493837919869e-07
0.56396484375,4.79230613547429e-06,4.6678810280696e-07
0.569000244140625,4.82105505914048e-06,4.68251581484524e-07
0.57403564453125,4.84980398280666e-06,4.72156466412087e-07
0.579071044921875,4.87840152980473e-06,4.66141927226524e-07
0.5841064453125,4.90699907680279e-06,4.62873970072212e-07
0.589141845703125,4.93544408628699e-06,4.64336187150507e-07
0.59417724609375,4.9638890957712e-06,4.64882876885052e-07
0.599212646484375,4.99218044743615e-06,4.62531466626349e-07
0.604248046875,5.0204717991011e-06,4.65062868867648e-07
0.609283447265625,5.04860840857645e-06,4.59204091423551e-07
0.61431884765625,5.07674501805179e-06,4.62500587416955e-07
0.619354248046875,5.10472583216478e-06,4.59849363147722e-07
0.6243896484375,5.13270664627776e-06,4.58418842003489e-07
0.629425048828125,5.16053063819718e-06,4.55619264146566e-07
0.63446044921875,5.18835463011661e-06,4.45190291758393e-07
0.639495849609375,5.21602079439253e-06,4.50788287638723e-07
0.64453125,5.24368695866845e-06,4.49062064769054e-07
0.649566650390625,5.27119430618266e-06,4.47494658661092e-07
0.65460205078125,5.29870165369687e-06,4.39518561146879e-07
0.659637451171875,5.32604920653995e-06,4.42993762210049e-07
0.6646728515625,5.35339675938303e-06,4.41280974991969e-07
0.669708251953125,5.38058354567441e-06,4.38508251200587e-07
0.67474365234375,5.40777033196579e-06,4.32988945377956e-07
0.679779052734375,5.43479538063401e-06,4.3251418967849e-07
0.684814453125,5.46182042930223e-06,4.20442754291523e-07
0.689849853515625,5.48868276484311e-06,4.1585825078189e-07
0.69488525390625,5.51554510038399e-06,4.10968571491006e-07
0.699920654296875,5.54224373761521e-06,4.1204093035354e-07
0.7049560546875,5.56894237484643e-06,4.02126961091074e-07
0.709991455078125,5.5954763136773e-06,4.00922612103946e-07
0.71502685546875,5.62201025250818e-06,3.99718263116819e-07
0.720062255859375,5.64837847274433e-06,3.95322699130669e-07
0.72509765625,5.67474669298048e-06,3.83297740613268e-07
0.730133056640625,5.70094814918318e-06,3.92801850816815e-07
0.73516845703125,5.72714960538589e-06,3.94676566489112e-07
0.740203857421875,5.75318322180666e-06,3.96108770380842e-07
0.7452392578125,5.77921683822743e-06,3.84418415678822e-07
0.750274658203125,5.80508150383854e-06,3.76253945380206e-07
0.75531005859375,5.83094616944966e-06,3.73277463362839e-07
0.760345458984375,5.85664073309183e-06,3.68640028626923e-07
0.765380859375,5.88233529673399e-06,3.57288726703506e-07
0.770416259765625,5.90785856240248e-06,3.58926105566266e-07
0.77545166015625,5.93338182807097e-06,3.50492683647775e-07
0.780487060546875,5.95873255036189e-06,3.26057488700605e-07
0.7855224609375,5.98408327265282e-06,3.35191629690935e-07
0.790557861328125,6.00926015239121e-06,3.34123636671285e-07
0.79559326171875,6.03443703212961e-06,3.33360819432886e-07
0.800628662109375,6.05943871220124e-06,3.20260994830008e-07
0.8056640625,6.08444039227287e-06,3.14790564758379e-07
0.810699462890625,6.10926545368139e-06,3.03698413506113e-07
0.81573486328125,6.1340905150899e-06,3.17935852097598e-07
0.820770263671875,6.15873747326124e-06,3.0244416736376e-07
0.8258056640625,6.18338443143258e-06,3.02516447473674e-07
0.830841064453125,6.20785173278799e-06,2.86594067993258e-07
0.83587646484375,6.23231903414341e-06,2.87456356481593e-07
0.840911865234375,6.25660505296251e-06,2.75377368912493e-07
0.845947265625,6.28089107178161e-06,2.74589885249644e-07
0.850982666015625,6.30499410737627e-06,2.66050814498728e-07
0.85601806640625,6.32909714297094e-06,2.62699732029062e-07
0.861053466796875,6.35301541719068e-06,2.58923059371825e-07
0.8660888671875,6.37693369141041e-06,2.54841210933337e-07
0.871124267578125,6.40066534649908e-06,2.49420102719665e-07
0.87615966796875,6.42439700158776e-06,2.48576631224744e-07
0.881195068359375,6.44794009841106e-06,2.4181820237019e-07
0.88623046875,6.47148319523436e-06,2.39332234453135e-07
0.891265869140625,6.49483571189672e-06,2.37036846697029e-07
0.89630126953125,6.51818822855908e-06,2.39929447222171e-07
0.901336669921875,6.54134805942772e-06,2.25924889791029e-07
0.9063720703125,6.56450789029636e-06,2.21075605797386e-07
0.911407470703125,6.58747284544959e-06,2.12148736581659e-07
0.91644287109375,6.61043780060282e-06,2.2031171111593e-07
0.921478271484375,6.6332056057183e-06,2.15549277094204e-07
0.926513671875,6.65597341083377e-06,2.05904030572479e-07
0.931549072265625,6.67854170753169e-06,2.04392862780811e-07
0.93658447265625,6.70111000422961e-06,1.99524761395393e-07
0.941619873046875,6.72347635088433e-06,1.95468961615668e-07
0.9466552734375,6.74584269753906e-06,1.95990798554694e-07
0.951690673828125,6.76800457057154e-06,1.87867011459714e-07
0.95672607421875,6.79016644360402e-06,1.74860411864734e-07
0.961761474609375,6.8121212392659e-06,1.72742041984103e-07
0.966796875,6.83407603492778e-06,1.65435683822223e-07
0.971832275390625,6.85582107158664e-06,1.67494358100859e-07
0.97686767578125,6.87756610824551e-06,1.63144340973244e-07
0.981903076171875,6.89909862917911e-06,1.66636234102144e-07
0.9869384765625,6.92063115011271e-06,1.67686720981041e-07
0.991973876953125,6.94194832681841e-06,1.71393958337843e-07
0.99700927734375,6.9632655035241e-06,1.78458129288395e-07
1.00204467773438,6.98436443954797e-06,1.84214662014527e-07
1.007080078125,7.00546337557184e-06,1.86003909584408e-07
1.01211547851563,7.0263411108601e-06,1.98695510233648e-07
1.01715087890625,7.04721884614836e-06,2.05283595257888e-07
1.02218627929688,7.06787236192193e-06,2.13316602921823e-07
1.0272216796875,7.08852587769549e-06,2.21959962148257e-07
1.03225708007813,7.10895210184644e-06,2.44563523153554e-07
1.03729248046875,7.1293783259974e-06,2.70524017752603e-07
1.04232788085938,7.14957413900421e-06,2.86644122714536e-07
1.04736328125,7.16976995201103e-06,3.16497137832718e-07
1.05239868164063,7.18973219336733e-06,3.51161361320167e-07
1.05743408203125,7.20969443472363e-06,3.82468651213867e-07
1.06246948242188,7.2294199098731e-06,4.17064465126901e-07
1.0675048828125,7.24914538502256e-06,4.53186157946186e-07
1.07254028320313,7.26863087279056e-06,4.98397935803194e-07
1.07757568359375,7.28811636055855e-06,5.42694186316453e-07
1.08261108398438,7.30735862106878e-06,5.91506125024966e-07
1.087646484375,7.32660088157902e-06,6.4886298560848e-07
1.09268188476563,7.34559666464148e-06,7.05245620514766e-07
1.09771728515625,7.36459244770395e-06,7.69257649952304e-07
1.10275268554688,7.38333850165801e-06,8.34434935841993e-07
1.1077880859375,7.40208455561207e-06,9.04800210012932e-07
1.11282348632813,7.42057763660661e-06,9.66568359487137e-07
1.11785888671875,7.43907071760116e-06,1.04664705583634e-06
1.12289428710938,7.45730759929135e-06,1.11202833820865e-06
1.1279296875,7.47554448098154e-06,1.19663569479971e-06
1.13296508789063,7.49352196461964e-06,1.26227637522411e-06
1.13800048828125,7.51149944825774e-06,1.35172076658601e-06
1.14303588867188,7.52921437315334e-06,1.40907908387791e-06
1.1480712890625,7.54692929804895e-06,1.48688417851355e-06
1.15310668945313,7.56437855237191e-06,1.54084605700309e-06
1.15814208984375,7.58182780669487e-06,1.59633381439888e-06
1.16317749023438,7.59900833859209e-06,1.65086959109541e-06
1.168212890625,7.6161888704893e-06,1.6855689420107e-06
1.17324829101563,7.63309769948463e-06,1.71443648020287e-06
1.17828369140625,7.65000652847996e-06,1.73414874495754e-06
1.18331909179688,7.66664075712475e-06,1.74192857881275e-06
1.1883544921875,7.68327498576953e-06,1.74360489704297e-06
