Potential applied (V),Fitted Smoothed WE(1).δ.Current,Corrected Smoothed WE(1).δ.Current (A)
1.32431030273438,9.99758376766299E-06,7.24470057418182E-07
1.329345703125,1.00653479485178E-05,6.92798527402092E-07
1.33438110351563,1.01331039265278E-05,6.58995006440244E-07
1.33941650390625,1.02008599045378E-05,6.26221949155341E-07
1.34445190429688,1.02686085246734E-05,5.92623952159654E-07
1.3494873046875,1.0336357144809E-05,5.61152937881769E-07
1.35452270507813,1.04040992767691E-05,5.25606190289897E-07
1.35955810546875,1.04718414087292E-05,4.8711337346778E-07
1.36459350585938,1.05395779435462E-05,4.45891461722985E-07
1.36962890625,1.06073144783633E-05,4.01591370020131E-07
1.37466430664063,1.06750463249393E-05,3.54917973457611E-07
1.37969970703125,1.07427781715154E-05,3.0754439003768E-07
1.38473510742188,1.08105062531035E-05,2.61099346700388E-07
1.3897705078125,1.08782343346916E-05,2.16054677077923E-07
1.39480590820313,1.09459595853356E-05,1.71448803801305E-07
1.39984130859375,1.10136848359796E-05,1.2887743573302E-07
1.40487670898438,1.10814081969266E-05,9.21208293856122E-08
1.409912109375,1.11491315578736E-05,5.91425898536858E-08
1.41494750976563,1.1216853973972E-05,3.03003609508682E-08
1.41998291015625,1.12845763900705E-05,5.03833277180931E-09
1.42501831054688,1.13522988061689E-05,-1.57583528071466E-08
1.4300537109375,1.14200212222673E-05,-3.0795010653414E-08
1.43508911132813,1.14881771467465E-05,-3.73609138257621E-08
1.44012451171875,1.15563330712257E-05,-3.8232844629332E-08
1.44515991210938,1.16273971762585E-05,-3.28312604035056E-08
1.4501953125,1.16984612812913E-05,-1.96219321638832E-08
1.45523071289063,1.17695253854727E-05,4.42047660794568E-09
1.46026611328125,1.1840589489654E-05,3.25847400875667E-08
1.46530151367188,1.1911653592585E-05,7.22690602830074E-08
1.4703369140625,1.19827176955159E-05,1.19932868438406E-07
1.47537231445313,1.20537817968233E-05,1.76831218091517E-07
1.48040771484375,1.21248458981306E-05,2.35882972607997E-07
1.48544311523438,1.21959099974728E-05,3.0326034715654E-07
1.490478515625,1.22669740968149E-05,3.70332545923835E-07
1.49551391601563,1.23380381938864E-05,4.45345922810728E-07
1.50054931640625,1.24091022909578E-05,5.28957065863747E-07
1.50558471679688,1.24801663854935E-05,6.2844924204298E-07
1.5106201171875,1.25512304800293E-05,7.4678701354486E-07
1.51565551757813,1.26222945718083E-05,8.90844104294264E-07
1.52069091796875,1.26933586635873E-05,1.06755500363742E-06
1.52572631835938,1.27644227524353E-05,1.28065052145874E-06
1.53076171875,1.28354868412834E-05,1.53263811644118E-06
1.53579711914063,1.2906550927075E-05,1.83261097303658E-06
1.54083251953125,1.29776150128667E-05,2.17906831032057E-06
1.54586791992188,1.30486790955264E-05,2.56851448156707E-06
1.5509033203125,1.31197431781862E-05,2.99450248012687E-06
1.55593872070313,1.31908072576889E-05,3.44511856372272E-06
1.56097412109375,1.32618713371917E-05,3.90626123011077E-06
1.56600952148438,1.33329354135624E-05,4.36154478885237E-06
1.571044921875,1.34039994899331E-05,4.79088047954404E-06
1.57608032226563,1.34750635632454E-05,5.17799226357751E-06
1.58111572265625,1.35461276365577E-05,5.51554799250073E-06
1.58615112304688,1.36171917069322E-05,5.79809017508549E-06
1.5911865234375,1.36882557773067E-05,6.02211655299967E-06
1.59622192382813,1.37593198449083E-05,6.18136772273238E-06
1.60125732421875,1.38303839125099E-05,6.28328019437934E-06
1.60629272460938,1.39014479775443E-05,6.32818556843447E-06
1.611328125,1.39725120425787E-05,6.31283920285555E-06
1.61636352539063,1.40435761052889E-05,6.23971421279147E-06
